ああ[編集]
愛あいり（あい あいり）（2008年）（引退）
愛心（あいみ）（2011年）＝柏木まゆ
藍ゆうき（あい ゆうき）（2004年）（引退）
愛内あみ（あいうち あみ）（2008年）（引退）
相内しおり（あいうち しおり）（2010年）（引退）
相内つかさ（あいうち つかさ）（2011年）＝本真ゆり
愛内希（あいうち のぞみ）（2011年）
愛内まほ（あいうち まほ）（2010年）
愛内萌（あいうち もえ）（2004年）（引退）
相内リカ（あいうち りか）（2007年）（引退）
愛内梨花（あいうち りんか）（2009年）
愛内るい（あいうち るい）（2002年）（引退）
愛浦こころ（あいうら こころ）（2007年）
AIKA（あいか）（2011年）
藍花（あいか）（2008年）＝花桐まつり
愛花沙也（あいか さや）（2011年）＝秋元まゆ花
あいか瞬（あいか しゅん）（2004年）（引退）
あいかりん（あいかりん）（2012年）
愛川香理（あいかわ かおり）（1997年）（引退）
愛川香織（あいかわ かおり）（2009年）
愛川香織（あいかわ かおり）（1998年）（引退）
愛川琴音（あいかわ ことね）（2007年）
愛川紗季（あいかわ さき）（2006年）
愛川咲樹（あいかわ さき）（2006年）
相川里美（あいかわ さとみ）（1994年）（引退）
愛川セイラ（あいかわ せいら）（2009年）
相川とも子（あいかわ ともこ）（1997年）（引退）
相川奈々（あいかわ なな）（2005年）（引退）
愛川瞳（あいかわ ひとみ）（1989年）（引退）＝城野みさ
愛川ひな（あいかわ ひな）（2000年）＝小泉里沙
愛川まや（あいかわ まや）（1990年）（引退）
愛川みう（あいかわ みう）（2009年）
相川未稀（あいかわ みき）（1997年）（引退）
愛川みな（あいかわ みな）（1995年）（引退）＝山口ゆう
相川みなみ（あいかわ みなみ）（2005年）
愛川深雪（あいかわ みゆき）（1986年）（引退）
愛川美里菜（あいかわ みりな）（2006年）
藍川めぐみ（あいかわ めぐみ）（1997年）（引退）
愛川由衣（あいかわ ゆい）（2005年）
あいかわ優衣（あいかわ ゆい）（2010年）
相川優菜（あいかわ ゆうな）（2004年）（引退）
あいかわゆら（あいかわ ゆら）（2007年）
相川リナ（あいかわ りな）（2004年）
哀川りん（あいかわ りん）（2010年）
相川るい（あいかわ るい）（2007年）
愛来ゆう（あいく ゆう）（2013年）
逢坂あきら（あいさか あきら）（?年）
相崎琴音（あいさき ことね）（2006年）（引退）
相崎真希（あいざき まき）（2009年）＝美空おんぷ
愛咲めぐ（あいさき めぐ）（1996年）（引退）
愛咲ゆかり（あいざき ゆかり）（1993年）（引退）
愛咲リア（あいさき りあ）（2013年）
逢坂はるな（あいさか はるな）（2013年）
愛咲れいら（あいざき れいら）（2011年）＝原千尋
愛沢かな（あいざわ かな）（2004年）（引退）＝小倉みなみ
愛沢かりん（あいざわ かりん）（2013年）
愛澤こころ（あいざわ こころ）（2007年）
相澤さゆり（あいざわ さゆり）（2006年）
藍沢潤（あいざわ じゅん）（2014年）
逢沢つばさ（あいざわ つばさ）（2014年）
逢沢なお（あいざわ なお）（2009年）＝青山れあ
相沢奈々（あいざわ なな）（1995年）
相沢遥（あいざわ はるか）（2005年）
逢沢はるか（あいざわ はるか）（2014年）＝黒木琴音、中山早紀
愛沢ひな（あいざわ ひな）（2006年）
藍沢舞音（あいざわ まお）（2003年）（引退）
相沢まみ（あいざわ まみ）（1999年）（引退）
