
か[編集]
かあ[編集]
甲斐えりか（かい えりか）（1988年）（引退）＝豊丸
かいとうぴんく（2014年）
甲斐ミハル（かい みはる）（2009年）
皆道あゆむ（かいとう あゆむ）（2015年）
海馬ゆう（かいば ゆう）（2009年）＝You.
貝満ひとみ（かいまん ひとみ）（1990年）
楓（かえで）（2005年）＝YOKO
楓アイル（かえで あいる）（2004年）
楓ありす（かえで ありす）（2006年）＝楓ありさ
楓乃々花（かえで ののか）（2010年）＝朝倉夢
楓はるか（かえで はるか）（2007年）
楓ひみつ（かえで ひみつ）（2008年）＝高城梨沙
楓姫輝（かえで ひめき）（2008年）＝椿美希
楓まお（かえで まお）（2007年）＝時東あい
KAORI（かおり）（2009年）
薫桜子（かおる さくらこ）（2002年）（引退）
薫はるか（かおる はるか）（引退）
薫まい（かおる まい）（2005年）
かか[編集]
加賀恵子（かが けいこ）（1986年）（引退）
加賀雅（かが みやび）（2004年）
鏡亜子（かがみ あこ）（1990年）（引退）
加賀美シュナ（かがみ しゅな）（2014年）
かがみ愛（かがみ めぐみ）（1987年）（引退）
鏡麗子（かがみ れいこ）（2000年?）
柿本彩菜（かきもと あやな）（2004年）（引退）
神楽渚（かぐら なぎさ）（2014年）
神楽メイ（かぐら めい）（2006年）＝小泉ナンナ
神楽百合（かぐら ゆり）（2003年）（引退）
かぐやひめ（かぐや ひめ）（2001年）（引退）
神楽坂ケイ（かぐらざか けい）（1996年）（引退）
加護あいり（かご あいり）（2001年）（引退）
加護範子（かご のりこ）（2006年）＝小野瀬香恋
加護芽衣（かご めい）（2012年）
かさ[編集]
河西あみ（かさい あみ）（2013年）＝杏あづさ（2009年-）、来栖千夏（2011年-2012年）
河西ちなみ（かさい ちなみ）（2011年）
河西希（かさい のぞみ）（2015年）
河西真琴（かさい まこと）
笠木あやか（かさぎ あやか）（2005年）＝笠木彩花
笠木忍（かさぎ しのぶ）（2000年）（引退）
華咲りょう（かさぎ りょう）（2009年）
笠原絵里（かさはら えり）（1991年）（引退）
笠原ひなの（かさはら ひなの）（2008年）
笠原みづえ（かさはら みづえ）（2004?年）
風間恭子（かざま きょうこ）（1995年）
風間ジュン（かざま じゅん）（引退）
風間はるか（かざま はるか）（2003年）（引退）
風間麻衣（かざま まい）（1998年）（引退）
風間水絵（かざま みえ）（1994年）（引退）
風間萌衣（かざま めい）（2014年）＝ 黒瀬萌衣
風間ゆず（かざま ゆず）（2003年）
風間ゆみ（かざま ゆみ）（1997年）＝風間由美、風間ひとみ、鈴川ちか
風間るい（かざま るい）（2003年）
風間零（かざま れい）（1987年）（引退）
風間麗子（かざま れいこ）（1991年）（引退）
風見あゆむ（かざみ あゆむ）（2015年）
風見京子（かざみ きょうこ）（2001年）
香水ちあき（かざみ ちあき）（1993年）（引退）
風見渚（かざみ なぎさ）（2009年）
風見ララ（かざみ らら）（2007年）
風見理香（かざみ りか）（1993年）（引退）
風見里穂（かざみ りほ）（2002年）（引退）
風見夕菜（かざみ ゆうな）（2007年）（引退）
かじか凛（かじか りん）（2011年）
舵川まり子（かじかわ まりこ）（1986年）（引退）
香椎杏子（かしい きょうこ）（2007年）
梶田さくら（かじた さくら）（2001年）（引退）
梶谷直美（かじたに なおみ）（1985年）（引退）
華島彩（かしま あや）（2006年）
香島未亜（かしま みあ）（2009年）
柏木綾（かしわぎ あや）（1998年）（引退）
柏木絵里香（かしわぎ えりか）（引退）
柏木胡桃（かしわぎ くるみ）（2014年）
柏木のぞみ（かしわぎ のぞみ）（2011年）
柏木瞳（かしわぎ ひとみ）（1996年）（引退）
柏木まゆ（かしわぎ まゆ）（2011年）＝愛心
柏木由美（かしわぎ ゆみ）（1991年）（引退）
柏木ゆり（かしわぎ ゆり）（2011年）
柏木よしみ（かしわぎ よしみ）（1988年）（引退）
柏木りかこ（かしわぎ りかこ）（2000年）（引退）
柏原優（かしはばら ゆう）（2010年）
梶原エミリ（かじわら えみり）（1998年）（引退）
梶原恭子（かじわら きょうこ）（引退）
梶原紀香（かじわら のりか）（2000年）（引退）
春日なみ（かすが なみ）（2008年）＝盛川あきこ、四葉っ娘
春日澪（かすが みお）（2006年）
春日みゆき（かすが みゆき）（2002年）（引退）
春日もも（かすが もも）（2011年）
春日由衣（かすが ゆい）（2012年）
春日梨乃（かすが りの）（2006年）（引退）
春日野結衣（かすがの ゆい）（2012年）
和葉（かずは）（2007年）（引退）
和葉みれい（かずは みれい）（2010年）
華純（かすみ）（2004年）
花純（かすみ）（2008年）
かすみ果穂（かすみ かほ）（2005年）
霞貴理子（かすみ きりこ）（2013年）
香澄のあ（かすみ のあ）（2010年）
香純ゆい（かすみ ゆい）（2015年）
かすみりさ（かすみ りさ）（2007年）
和見あい（かずみ あい）（2001年）（引退）
和希さやか（かずき さやか）（2011年）＝亜衣奈りん
和希セイラ（かずき せいら）（2010年）
和希美也（かずき みや）（2008年）（引退）
和希結衣（かずき ゆい）（2005年）（引退）
和希優子（かずき ゆうこ）（2005年）
加瀬あゆむ（かせ あゆむ）（2005年）
風谷音緒（かぜたに ねお）（2007年）（引退）
風野夏（かぜの なつ）（2006年）（引退）
風野夏海（かぜの なつみ）（2006年）（引退）
かた[編集]
片岡さき（かたおか さき）（2009年）＝青木莉子
片岡美沙（かたおか みさ）（2008年）
片岡まきな（かたおか まきな）（2010年）＝仲丘たまき
片岡梨沙（かたおか りさ）（2008年）
片桐綾（かたぎり あや）（1989年）（引退）
片桐えりりか（かたぎり えりりか）（2011年）
片桐かほる（かたぎり かほる）（1993年）（引退）
片桐舞（かたぎり まい）（引退）
片桐美佳（かたぎり みか）（1991年）（引退）
片桐もえ（かたぎり もえ）
片桐ゆう（かたぎり ゆう）（2001年）（引退）
片桐りの（かたぎり りの）（2009年）
片瀬あき（かたせ あき）（2004年）（引退）
片瀬くるみ（かたせ くるみ）（2005年）
片瀬翔子（かたせ しょうこ）（2010年）＝国見りさ
片瀬まこ（かたせ まこ）（2005年）
片瀬茉奈（かたせ まな）（2005年）
片瀬茉莉奈（かたせ まりな）（2004年）（引退）
片瀬由奈（かたせ ゆな）（2006年）
片瀬梨音（かたせ りおん）（2004年）
片瀬りこ（かたせ りこ）（2007年）
片平あかね（かたひら あかね）（2015年）
片平恭子（かたひら きょうこ）（2005年）（引退）
片山小百合（かたやま さゆり）（引退）
片山唯（かたやま ゆい）（1995年）（引退）
香月藍（かつき あい）（2006年）（引退）
香月あんな（かつき あんな）（1996年）（引退）
華月まなか（かつき まなか）（2009年）
香月悠梨（かつき ゆうり）（2010年）（引退）
桂菜々子（かつら ななこ）（2008年）
