
さ[編集]
さあ[編集]
西園寺れお（さいおんじ れお）（2011年）
彩毬（さい まり）（2002年）（引退）＝江口美貴
斎木きな（さいき きな）（1998年）（引退）
斉木里菜（さいき りな）（1999年）（引退）
Saiko（さいこ）
西条加奈（さいじょう かな）（1995年）（引退）＝麻生舞、沢口りな
西篠カレン（さいじょう かれん）（2013年）
西条麗（さいじょう れい）（2004年）
西條るり（さいじょう るり）（2010年）
斉藤香（さいとう かおり）（1989年）（引退）＝小森愛
斉藤ここみ（さいとう ここみ）（2004年）
斉藤ちあき（さいとう ちあき）（1991年）（引退）
斉藤つかさ（さいとう つかさ）（1999年）（引退）
斎木亜樹（さいとう あき）
斉藤ひな（2011年）＝星野ひびき
さいとう真央（さいとう まお）（2005年）
斉藤真美（さいとう まみ）（1994年）（引退）
斉藤美和子（さいとう みわこ）（1993年）（引退）
斉藤もみじ（さいとう もみじ）
斉藤めぐみ（さいとう めぐみ）（2006年）
斉藤唯（さいとう ゆい）（1987年）（引退）
斉藤ゆみ（さいとう ゆみ）（1996年）（引退）
斉藤容子（さいとう ようこ）（1996年）（引退）
斉藤梨香子（さいとう りかこ）（1993年）（引退）
冴木麗美（さえき うるみ）（2002年）（引退）
佐伯琴美（さえき ことみ）（1990年）（引退）
佐伯さき（さえき さき）（2009年）（引退）
冴木静（さえき しず）（1995年）（引退）
佐伯静香（さえき しずか）（1995年）（引退）
冴木鈴美（さえき すずみ）（1994年）（引退）
佐伯とも（さえき とも）（2005年）
佐伯奈々（さえき なな）（2007年）
佐伯晴香（さえき はるか）（2005年）
佐伯春菜（さえき はるな）
佐伯ひなた（さえき ひなた）＝祐花凛
佐伯実里（さえき みさと）（2008年）
佐伯みすず（さえき みすず）（1996年）（引退）
冴木みちる（さえき みちる）（1990年）（引退）
佐伯美歩（さえき みほ）（2004年）
佐伯ゆきな（さえき ゆきな）（2014年）
佐伯祐里（さえき ゆり）（1992年）（引退）＝尾崎麗美
冴木るな（さえき るな）（2007年）
七草ちとせ（さえぐさ ちとせ）（2014年）
三枝実央（さえぐさ みお）（2008年）
三枝美憂（さえぐさ みゆ）（1996年）（引退）
冴島かおり（さえじま かおり）（2012年）
冴島奈緒（さえじま なお）（1987年）
冴嶋ゆき（さえじま ゆき）（2008年）
冴羽菜々（さえば なな）（1992年）（引退）
冴嶋みどり（さえじま みどり）
早乙女ありさ（さおとめ ありさ）（2004年）＝松本亜璃沙
早乙女香織（さおとめ かおり）（2006年）（引退）
早乙女つくし（さおとめ つくし）（2001年）（引退）
早乙女美紀（さおとめ みき）（1991年）（引退）
早乙女みなき（さおとめ みなき）（2004年）（引退）＝朝倉なほ
早乙女美奈子（さおとめ みなこ）（2007年）＝さくら桃香
早乙女美々（さおとめ みみ）（2015年）
早乙女ゆい（さおとめ ゆう）（2014年）
早乙女優（さおとめ ゆう）（2006年）（引退）
早乙女らぶ（さおとめ らぶ）（2010年）
早乙女りん（さおとめ りん）（2010年）
早乙女ルイ（さおとめ るい）（2007年）（引退）
SAORI（さおり）（2008年）＝愛音ゆり
沙織（さおり）（2011年）
さか[編集]
境祥子（さかい しょうこ）（1995年）（引退）
酒井あや（さかい あや）（2002年）（引退）
酒井楓（さかい かえで）（2004年）＝美咲静（引退）
酒井京香（さかい きょうか）（2014年）＝七瀬ひとみ
酒井里美（さかい さとみ）（2001年）（引退）
酒井ちなみ（さかい ちなみ）（2002年）＝紫葵
酒井はな（さかい はな）
酒井ひとみ（さかい ひとみ）（1994年）（引退）
坂井真理絵（さかい まりえ）（1997年）（引退）
酒井美結（さかい　みゆ）（2013年）
酒井ももか（さかい ももか）（2014年）
酒井ゆい（さかい ゆい）（1990年）（引退）
坂井優羽（さかい ゆうは）（2009年）＝ゆうあ、上村香澄
堺由樹（さかい ゆき）（2008年）（引退）
坂井陽子（さかい ようこ）（1996年）（引退）
酒井るんな（さかい るんな）（2002年）（引退）
酒井若葉（さかい わかば）（2002年）（引退）
さかうえもか（2013年）
早匂みずき（さかおり みずき）（1990年）（引退）
坂上亜衣（さかがみ あい）（2000年）（引退）
坂上千里（さかがみ ちり）（2004年）（引退）
坂上真琴（さかがみ まこと）（1988年）（引退）
坂上みさと（さかがみ みさと）（1991年）（引退）
坂上友香（さかがみ ゆうか）（2000年）＝南ナミ
坂上麗奈（さかがみ れな）（2006年）（引退）
榊彩弥（さかき あや）（2006年）（引退）
榊ありな（さかき ありな）（1997年）（引退）
榊うらら（さかき うらら）（2001年）（引退）
榊なち（さかき なち）（2009年）
榊ひなの（さかき ひなの）（2009年）
榊真結（さかき まゆ）（引退）
坂木美春（さかき みはる）（2008年）
榊里緒（さかき りお）（2006年）（引退）
榊れいな（さかき れいな）（2006年）＝杏堂なつ
坂口華奈（さかぐち かな）（1999年）（引退）
坂口しおり（さかぐち しおり）（1992年）（引退）
坂口みほの（さかぐち みほの）（2013年）
坂口蘭子（さかぐち らんこ）（1988年）（引退）＝小豊丸
坂下梢（さかした こずえ）（2010年）＝長谷川綾
坂下ななえ（さかした ななえ）（2006年）（引退）
坂下麻衣（さかした まい）（2003年）（引退）
坂下真紀（さかした まき）（2007年）（引退）
坂下もえ（さかした もえ）（2006年）（引退）
坂田美影（さかた みかげ）（2008年）
酒菜いるか（さかな いるか）（2005年）
坂野由梨（さかの ゆり）（2011年）
坂巻あすか（さかまき あすか）（2002年）（引退）
坂巻かおり（さかまき かおり）（1993年）（引退）
坂巻リオナ（さかまき りおな）（1999年）（引退）
坂本愛海（さかもと あいみ）（2007年）
坂本麻弥（さかもと まや）（2006年）
坂本梨沙（さかもと りさ）（2006年）
坂本リナ（さかもと りな）（1997年）（引退）
相楽いろは（さがら いろは）（2013年）
咲（さき）（2008年）
咲あいら（さき あいら）（2005年）
早紀麻未（さき あさみ）（1991年）（引退）
早紀歩（さき あゆみ）（2008年）
早希なつみ（さき なつみ）（2003年）
咲もも菜（さき ももな）（2004年）（引退）
咲田ありな（さきた ありな）（2013年）
咲田うらら（さきた うらら）（2011年）
咲田葵（さきた あおい）（1988年）（引退）
咲乃瞳（さきの ひとみ）（2009年）
咲美りんね（さきみ ねんり）（2009年）
咲夜由愛（さくや ゆあ）（2012年）
さくら（さくら）（1988年）（引退）
さくら（さくら）（2009年）＝蓮美
桜あい（さくら あい）（2009年）
さくら愛々（さくら あいあい）（2003年）（引退）
桜朱音（さくら あかね）（2003年）（引退）
佐倉麻子（さくら あさこ）（1990年）（引退）
佐倉あやめ（さくら あやめ）（2008年）
桜あやめ（さくら あやめ）（2009年）
桜一菜（さくら いちな）（2004年）
さくらえな（2013年）
佐倉カオリ（さくら かおり）（2010年）
佐倉絆（さくら きずな）（2014年）
桜くみ（さくら くみ）（2002年）（引退）
桜ここみ（さくら ここみ）（2009年）
